Composite Rank,Name,Position,Team (23-24),League (23-24),Birthdate,Age,Height (in),Weight (lbs),Games Played,Goals,Assists,Points,Points Per Game,Penalty Minutes,Plus-minus,Goals Against Average,Save Percentage,Wins,Losses,Ties,Shootouts,Saves,Goals Against,Draft Round,Draft Pick
165,James Reeder,F,Dubuque Fighting Saints,USHL,10/06/2005,18,69,168,53,20,40,60,1.13,30,11,,,,,,,,,7,198
467,Noah Steen,F,Mora IK,HockeyAllsvenskan,08/16/2004,19,73,192,40,14,3,17,0.43,24,6,,,,,,,,,7,199
366,Matthew Lahey,D,Nanaimo Clippers,BCHL,07/17/2006,17,76,201,54,2,17,19,0.35,42,,,,,,,,,,7,200
1217,Denis Gabdrakhmanov,G,Tyumenski Legion,MHL,06/22/2005,19,75,187,40,,,,,,,2.55,0.924,10,20,7,1,1137,93,7,201
98,Jakub Fibigr,D,Mississauga Steelheads,OHL,07/22/2006,17,72,172,61,7,36,43,0.7,35,13,,,,,,,,,7,202
164,Austin Baker,F,U.S. National U18 Team,NTDP,02/11/2006,18,72,192,59,15,16,31,0.53,29,8,,,,,,,,,7,203
402,Vasili Zelenov,F,RB Hockey Juniors,AlpsHL,02/02/2006,18,71,170,40,14,23,37,0.93,24,22,,,,,,,,,7,204
434,Austin Moline,D,Shattuck St. Mary's 18U Prep,USHS Prep,11/21/2005,18,76,194,57,8,27,35,0.61,16,,,,,,,,,,7,205
277,Harrison Meneghin,G,Lethbridge Hurricanes,WHL,09/13/2004,19,75,170,53,,,,,,,2.59,0.919,27,20,5,3,1483,131,7,206
107,Mac Swanson,F,Fargo Force,USHL,01/10/2006,18,67,157,55,26,51,77,1.4,6,39,,,,,,,,,7,207
2916,Fisher Scott,D,Dubuque Fighting Saints,USHL,10/27/2004,19,73,179,61,8,25,33,0.54,30,28,,,,,,,,,7,208
3899,Antoine Dorion,F,Québec Remparts,QMJHL,11/02/2005,18,72,190,68,11,15,26,0.38,44,-22,,,,,,,,,7,209
241,Makar Khanin,F,Dynamo St. Petersburg,VHL,03/17/2005,19,72,161,35,9,18,27,0.77,8,7,,,,,,,,,7,210
180,Matvei Korotky,F,SKA-1946 St. Petersburg,MHL,12/23/2005,18,74,190,51,20,18,38,0.75,22,24,,,,,,,,,7,211
221,Miroslav Satan,F,multiple,Slovakia U20,03/02/2006,18,79,190,27,14,17,31,1.15,20,15,,,,,,,,,7,212
249,Erik Pahlsson,F,Dubuque Fighting Saints,USHL,04/09/2004,20,73,183,57,28,44,72,1.26,16,23,,,,,,,,,7,213
202,Darels Uljanskis,D,AIK J20,J20 Nationell,08/25/2006,17,74,192,45,11,18,29,0.64,20,1,,,,,,,,,7,214
76,Christian Humphreys,F,U.S. National U18 Team,NTDP,02/04/2006,18,71,170,52,23,35,58,1.12,22,14,,,,,,,,,7,215
348,Sam McCue,F,multiple,OHL,10/03/2005,18,73,187,68,23,14,37,0.54,53,-10,,,,,,,,,7,216
582,Nikita Prishchepov,F,Victoriaville Tigres,QMJHL,02/20/2004,20,73,187,63,22,45,67,1.06,70,16,,,,,,,,,7,217
379,Bauer Berry,D,Muskegon Lumberjacks,USHL,10/31/2005,18,76,196,59,1,13,14,0.24,83,12,,,,,,,,,7,218
85,Ryerson Leenders,G,Mississauga Steelheads,OHL,06/01/2006,18,74,179,46,,,,,,,3.12,0.909,24,17,4,3,1388,139,7,219
163,Andrei Krutov,F,Chaika Nizhny Novgorod,MHL,04/25/2006,18,71,174,41,21,29,50,1.22,12,22,,,,,,,,,7,220
462,Basile Sansonnens,D,Gottéron U20,Swiss U20,08/19/2006,17,76,198,40,1,2,3,0.08,35,,,,,,,,,,7,221
330,William Samuelsson,F,Södertälje SK J20,J20 Nationell,09/27/2005,18,72,176,50,18,26,44,0.88,49,5,,,,,,,,,7,222
297,Finn Harding,D,Mississauga Steelheads,OHL,03/02/2005,19,73,183,68,10,24,34,0.5,54,39,,,,,,,,,7,223
5123,Rasmus Bergqvist,D,Skellefteå AIK J20,J20 Nationell,06/05/2005,19,74,181,36,4,8,12,0.33,30,-2,,,,,,,,,7,224
238,Nathan Mayes,D,Spokane Chiefs,WHL,06/10/2006,18,75,181,68,1,15,16,0,58,-16,,,,,,,,,7,225
